n;ins1_a;ins1_c;ins2_a;ins2_c;mer1_a;mer1_c;mer2_a;mer2_c;heap1_a;heap1_c;heap2_a;heap2_c
2;5;2;5;2;13;5;17;9;9;6;7;4
3;10;4;10;4;29;10;20;12;15;9;18;12
4;11;4;12;3;45;15;40;24;52;31;42;27
5;18;7;19;8;64;21;60;36;58;34;64;40
6;27;11;27;13;83;27;80;45;83;50;75;48
7;34;14;36;16;102;33;86;52;103;61;99;63
8;49;21;51;25;121;39;92;56;163;97;147;93
9;58;25;59;26;143;46;98;63;169;100;152;98
10;73;32;76;31;165;53;121;75;198;117;182;116
11;70;30;73;34;187;60;144;90;234;138;156;99
12;105;47;107;46;209;67;167;101;236;140;169;109
13;96;42;100;50;231;74;190;116;279;165;249;159
14;145;66;147;78;253;81;213;132;317;188;301;193
15;146;66;149;72;275;88;236;145;343;205;336;216
16;135;60;139;60;297;95;259;159;406;241;339;219
17;174;79;178;96;322;103;282;173;425;251;360;231
18;241;112;246;125;347;111;305;189;434;257;421;271
19;242;112;247;126;372;119;314;195;483;288;442;283
20;257;119;262;158;397;127;323;199;523;310;448;289
21;268;124;275;152;422;135;332;210;538;319;514;331
22;255;117;262;153;447;143;341;221;621;369;546;351
23;348;163;357;186;472;151;350;225;593;350;542;347
24;315;146;318;189;497;159;359;237;684;408;628;406
25;364;170;373;212;522;167;368;243;730;433;659;425
26;307;141;313;173;547;175;377;258;768;456;666;429
27;364;169;372;222;572;183;386;264;805;478;735;474
28;443;208;452;238;597;191;412;274;816;486;736;472
29;554;263;563;310;622;199;438;290;860;509;782;503
30;501;236;507;303;647;207;464;309;911;542;819;528
31;606;288;613;346;672;215;490;327;916;544;789;510
32;673;321;680;399;697;223;516;338;919;547;839;542
33;576;272;586;356;725;232;542;355;1084;643;925;598
34;639;303;650;378;753;241;568;368;1045;622;941;608
35;722;344;730;470;781;250;594;387;1172;698;957;618
36;709;337;717;470;809;259;620;404;1136;674;977;632
37;654;309;663;428;837;268;646;420;1218;723;1059;687
38;697;330;706;412;865;277;672;438;1211;719;1015;655
39;838;400;845;524;893;286;698;456;1290;768;1082;701
40;843;402;854;511;921;295;724;467;1374;813;1113;720
41;1038;499;1046;606;949;304;750;484;1371;813;1136;734
42;897;428;906;530;977;313;776;507;1430;848;1223;794
43;1000;479;1009;618;1005;322;802;519;1497;891;1201;778
44;989;473;1000;605;1033;331;828;543;1441;859;1328;857
45;1090;523;1101;740;1061;340;854;556;1609;955;1310;845
46;1217;586;1232;767;1089;349;880;576;1592;944;1362;879
47;1186;570;1195;760;1117;358;906;591;1638;975;1449;939
48;1345;649;1356;813;1145;367;932;601;1669;994;1449;939
49;1462;707;1476;926;1173;376;958;623;1733;1028;1516;979
50;1509;730;1520;949;1201;385;984;636;1771;1054;1472;953
51;1354;652;1369;820;1229;394;1010;655;1807;1075;1594;1033
52;1277;613;1291;826;1257;403;1036;678;1880;1118;1644;1062
53;1634;791;1648;1000;1285;412;1062;688;1869;1110;1631;1055
54;1437;692;1448;866;1313;421;1088;709;1949;1160;1706;1106
55;1588;767;1604;990;1341;430;1100;713;1999;1189;1708;1105
56;1805;875;1820;1144;1369;439;1112;733;2082;1239;1711;1102
57;1752;848;1766;1124;1397;448;1124;739;2129;1262;1738;1120
58;1733;838;1751;1167;1425;457;1136;753;2161;1288;1882;1219
59;1952;947;1967;1216;1453;466;1148;762;2120;1265;1825;1183
60;2025;983;2039;1319;1481;475;1160;773;2262;1347;1919;1238
61;2022;981;2040;1310;1509;484;1172;787;2315;1376;1932;1248
62;1837;888;1854;1133;1537;493;1184;788;2396;1430;1990;1285
63;2170;1054;2185;1340;1565;502;1196;799;2461;1462;2015;1301
64;2659;1298;2675;1606;1593;511;1208;807;2383;1417;2069;1337
65;2054;995;2067;1300;1624;521;1220;819;2565;1527;2085;1353
66;2303;1119;2322;1414;1655;531;1232;832;2580;1539;2216;1436
67;2150;1042;2168;1386;1686;541;1244;843;2541;1512;2119;1369
68;2221;1077;2236;1330;1717;551;1256;851;2589;1542;2218;1441
69;2440;1186;2457;1420;1748;561;1268;879;2622;1563;2250;1455
70;3033;1482;3053;1777;1779;571;1280;880;2744;1631;2227;1438
71;2902;1416;2926;1864;1810;581;1292;885;2721;1617;2334;1512
72;2687;1308;2704;1806;1841;591;1304;900;2849;1697;2443;1582
73;2812;1370;2829;1784;1872;601;1316;918;2902;1723;2390;1550
74;2701;1314;2719;1762;1903;611;1328;928;2997;1785;2474;1598
75;2916;1421;2936;1834;1934;621;1340;943;3037;1804;2538;1641
76;2853;1389;2874;1718;1965;631;1352;943;3037;1807;2616;1695
77;3018;1471;3037;1902;1996;641;1364;950;3102;1845;2604;1683
78;2915;1419;2934;1926;2027;651;1376;972;3240;1926;2657;1721
79;3356;1639;3379;2146;2058;661;1388;982;3198;1902;2730;1770
80;3367;1644;3387;2124;2089;671;1400;989;3239;1928;2702;1751
81;3452;1686;3470;2174;2120;681;1412;1004;3304;1966;2810;1820
82;3511;1715;3535;2249;2151;691;1441;1020;3387;2016;2869;1855
83;3922;1920;3942;2438;2182;701;1470;1035;3371;2006;2805;1821
84;3735;1826;3758;2451;2213;711;1499;1049;3489;2073;2934;1899
85;3406;1661;3426;2244;2244;721;1528;1079;3448;2050;2992;1939
86;4331;2123;4353;2708;2275;731;1557;1086;3450;2055;2933;1898
87;3950;1932;3968;2478;2306;741;1586;1117;3670;2185;3103;2011
88;3783;1848;3805;2431;2337;751;1615;1126;3683;2192;3131;2033
89;3812;1862;3829;2428;2368;761;1644;1152;3723;2220;3128;2027
90;4045;1978;4066;2534;2399;771;1673;1160;3735;2226;3138;2031
91;4540;2225;4561;2782;2430;781;1702;1182;3814;2272;3266;2123
92;4857;2383;4880;2937;2461;791;1731;1206;3845;2291;3306;2145
93;4284;2096;4307;2822;2492;801;1760;1216;3974;2366;3291;2133
94;4845;2376;4864;3141;2523;811;1789;1239;3963;2355;3353;2180
95;4928;2417;4951;3130;2554;821;1818;1252;3962;2357;3346;2170
96;4813;2359;4834;2957;2585;831;1847;1285;4059;2415;3350;2168
97;4868;2386;4895;3064;2616;841;1876;1302;4074;2427;3434;2231
98;4437;2170;4464;2837;2647;851;1905;1310;4226;2513;3520;2284
99;5232;2567;5255;3528;2678;861;1934;1329;4278;2544;3576;2322
100;4877;2389;4902;3102;2709;871;1963;1356;4331;2576;3593;2333
101;5574;2737;5599;3556;2740;881;1992;1372;4262;2534;3659;2375
102;5023;2461;5050;3315;2771;891;2021;1389;4407;2622;3675;2388
103;5262;2580;5287;3168;2802;901;2050;1398;4476;2664;3699;2400
104;5915;2906;5947;3753;2833;911;2079;1415;4503;2682;3756;2430
105;5792;2844;5814;3876;2864;921;2108;1458;4580;2726;3824;2477
106;6567;3231;6594;3904;2895;931;2137;1463;4551;2715;3806;2468
107;6246;3070;6275;3932;2926;941;2166;1484;4660;2773;3849;2493
108;5921;2907;5942;3931;2957;951;2195;1497;4747;2830;4011;2601
109;5932;2912;5963;3858;2988;961;2224;1514;4806;2862;3962;2576
110;6245;3068;6270;3926;3019;971;2253;1543;4887;2913;4105;2668
111;6544;3217;6567;4090;3050;981;2282;1562;4945;2941;4075;2650
112;6419;3154;6446;4124;3081;991;2311;1584;4877;2906;4195;2722
113;6606;3247;6635;4148;3112;1001;2340;1592;5063;3020;4214;2732
114;7053;3470;7082;4321;3143;1011;2369;1616;4987;2971;4189;2722
115;7120;3503;7145;4624;3174;1021;2398;1633;5077;3022;4222;2740
116;7247;3566;7281;4825;3205;1031;2427;1662;5193;3090;4366;2836
117;6632;3258;6659;4520;3236;1041;2456;1679;5267;3140;4365;2838
118;6775;3329;6800;4413;3267;1051;2485;1708;5436;3243;4437;2883
119;7540;3711;7569;4840;3298;1061;2514;1712;5378;3200;4417;2869
120;6879;3380;6912;4328;3329;1071;2543;1737;5421;3234;4407;2865
121;7724;3802;7752;5040;3360;1081;2572;1755;5393;3215;4539;2955
122;7661;3770;7689;4849;3391;1091;2601;1782;5531;3296;4550;2951
123;7538;3708;7568;4908;3422;1101;2630;1804;5565;3321;4569;2967
124;8131;4004;8164;5253;3453;1111;2659;1808;5601;3342;4652;3017
125;8386;4131;8410;5324;3484;1121;2688;1829;5610;3348;4670;3041
126;8513;4194;8541;5436;3515;1131;2717;1848;5612;3344;4770;3093
127;8966;4420;9007;5780;3546;1141;2746;1876;5702;3398;4762;3091
128;8785;4329;8819;5545;3577;1151;2775;1890;5756;3431;4776;3105
129;8318;4095;8347;5696;3611;1162;2804;1914;5885;3506;4868;3164
130;8469;4170;8499;5552;3645;1173;2833;1938;5934;3543;4910;3191
131;8478;4174;8511;5482;3679;1184;2862;1947;5991;3573;5001;3246
132;8273;4071;8306;5459;3713;1195;2891;1976;6144;3657;5110;3319
133;9632;4750;9668;6298;3747;1206;2920;1996;6087;3633;5040;3270
134;8169;4018;8202;5213;3781;1217;2949;2019;6215;3701;5076;3297
135;9080;4473;9116;5902;3815;1228;2978;2046;6277;3733;5195;3374
136;9211;4538;9241;6049;3849;1239;3007;2058;6312;3762;5203;3385
137;9882;4873;9916;6548;3883;1250;3036;2083;6342;3774;5259;3414
138;8905;4384;8945;5808;3917;1261;3065;2086;6438;3834;5351;3473
139;10504;5183;10533;6758;3951;1272;3094;2109;6429;3831;5264;3410
140;9811;4836;9847;6890;3985;1283;3123;2123;6443;3839;5346;3471
141;9838;4849;9873;6454;4019;1294;3152;2142;6600;3933;5461;3544
142;10803;5331;10832;6867;4053;1305;3181;2175;6558;3900;5359;3475
143;10334;5096;10367;6360;4087;1316;3210;2188;6561;3909;5489;3569
144;11227;5542;11263;7159;4121;1327;3239;2203;6737;4019;5496;3570
145;9926;4891;9968;6572;4155;1338;3268;2225;6910;4117;5614;3649
146;11183;5519;11216;7324;4189;1349;3297;2249;6863;4082;5683;3688
147;11136;5495;11164;7090;4223;1360;3326;2266;6944;4136;5703;3702
148;11195;5524;11234;7380;4257;1371;3355;2291;7000;4171;5785;3760
149;10816;5334;10849;7310;4291;1382;3384;2305;7053;4206;5816;3770
150;12555;6203;12592;8166;4325;1393;3413;2310;7014;4182;5908;3838
151;10876;5363;10905;7366;4359;1404;3442;2335;7225;4303;5967;3879
152;10965;5407;10993;7284;4393;1415;3471;2355;7167;4275;5997;3894
153;11768;5808;11809;7682;4427;1426;3500;2389;7261;4333;5965;3871
154;11015;5431;11052;7147;4461;1437;3529;2399;7361;4391;6021;3912
155;12832;6339;12861;8096;4495;1448;3558;2420;7356;4386;6161;4004
156;12199;6022;12238;7660;4529;1459;3587;2440;7431;4434;6109;3973
157;12884;6364;12923;8350;4563;1470;3616;2457;7551;4497;6180;4008
158;12953;6398;12988;8043;4597;1481;3645;2483;7535;4496;6153;3999
159;14262;7052;14299;9386;4631;1492;3674;2493;7585;4516;6267;4068
160;13155;6498;13195;8424;4665;1503;3703;2523;7650;4560;6395;4160
161;12076;5958;12114;7730;4699;1514;3732;2557;7891;4699;6487;4216
162;14197;7018;14230;8817;4733;1525;3761;2557;7744;4612;6467;4196
163;13412;6625;13459;8908;4767;1536;3776;2562;7846;4675;6499;4222
164;14267;7052;14306;9054;4801;1547;3791;2590;7926;4722;6529;4243
165;13002;6419;13032;8676;4835;1558;3806;2600;8006;4769;6656;4322
166;14145;6990;14192;8928;4869;1569;3821;2607;8061;4797;6577;4264
167;14040;6937;14085;9250;4903;1580;3836;2617;8171;4865;6621;4302
168;14365;7099;14403;9128;4937;1591;3851;2634;8239;4909;6749;4385
169;13708;6770;13754;9054;4971;1602;3866;2632;8202;4881;6762;4389
170;14805;7318;14840;9870;5005;1613;3881;2658;8348;4976;6818;4436
171;13832;6831;13879;9292;5039;1624;3896;2676;8345;4973;6908;4493
172;16139;7984;16179;10046;5073;1635;3911;2678;8267;4928;6823;4432
173;15136;7482;15181;10022;5107;1646;3926;2702;8480;5054;7042;4576
174;14087;6957;14129;9554;5141;1657;3941;2702;8667;5169;7119;4629
175;15626;7726;15664;10576;5175;1668;3956;2732;8543;5096;6979;4534
176;16453;8139;16492;10829;5209;1679;3971;2740;8672;5171;7200;4677
177;15646;7735;15688;10598;5243;1690;3986;2742;8598;5130;7223;4691
178;16359;8091;16393;10838;5277;1701;4001;2756;8655;5166;7338;4770
179;16036;7929;16079;10576;5311;1712;4016;2766;8802;5250;7166;4652
180;16995;8408;17038;11173;5345;1723;4031;2780;8874;5292;7442;4838
181;16326;8073;16361;10766;5379;1734;4046;2806;9089;5423;7382;4787
182;17927;8873;17974;11163;5413;1745;4061;2817;9021;5373;7360;4774
183;17236;8527;17278;11426;5447;1756;4076;2824;9131;5435;7584;4929
184;16343;8080;16388;10827;5481;1767;4091;2847;9085;5410;7471;4846
185;18546;9181;18595;12026;5515;1778;4106;2847;9145;5449;7459;4846
186;17273;8544;17318;11328;5549;1789;4121;2865;9287;5543;7518;4881
187;16558;8186;16606;10946;5583;1800;4136;2882;9312;5547;7611;4941
188;18285;9049;18329;12349;5617;1811;4151;2894;9333;5556;7692;4998
189;18390;9101;18435;12120;5651;1822;4166;2902;9458;5633;7903;5125
190;17401;8606;17449;11739;5685;1833;4181;2928;9513;5667;7814;5066
191;16582;8196;16629;10926;5719;1844;4196;2926;9459;5637;7865;5111
192;20785;10297;20832;13053;5753;1855;4211;2945;9499;5659;7795;5065
193;18072;8940;18111;12162;5787;1866;4226;2968;9676;5773;7978;5182
194;18055;8931;18100;11724;5821;1877;4241;2986;9664;5764;8119;5272
195;21142;10474;21184;13176;5855;1888;4256;2990;9745;5812;8032;5221
196;19611;9708;19658;12456;5889;1899;4271;2994;10002;5970;8054;5231
197;19388;9596;19436;12604;5923;1910;4286;3008;9909;5910;8168;5309
198;20219;10011;20265;13159;5957;1921;4301;3016;9850;5872;8179;5308
199;19644;9723;19691;13098;5991;1932;4316;3036;10008;5961;8248;5353
200;19787;9794;19834;12642;6025;1943;4331;3043;10055;5993;8291;5393
201;20784;10292;20833;13566;6059;1954;4346;3073;10027;5986;8349;5421
202;22567;11183;22615;14430;6093;1965;4361;3073;10163;6056;8305;5404
203;22524;11161;22580;14140;6127;1976;4376;3094;10273;6121;8365;5437
204;21749;10773;21803;13777;6161;1987;4391;3113;10347;6168;8373;5436
205;23022;11409;23075;14920;6195;1998;4406;3140;10249;6106;8482;5509
206;23633;11714;23687;15381;6229;2009;4421;3142;10460;6227;8561;5564
207;22420;11107;22473;15152;6263;2020;4436;3150;10588;6310;8794;5707
208;20999;10396;21050;13971;6297;2031;4451;3172;10671;6366;8689;5647
209;19878;9835;19930;13192;6331;2042;4466;3167;10565;6296;8693;5648
210;23541;11666;23598;15488;6365;2053;4481;3187;10517;6269;8747;5681
211;21780;10785;21841;14344;6399;2064;4496;3228;10745;6398;8874;5766
212;21665;10727;21712;14488;6433;2075;4511;3223;10851;6471;8878;5758
213;22960;11374;23006;15010;6467;2086;4526;3234;10910;6509;8922;5802
214;22963;11375;23017;15284;6501;2097;4541;3261;10891;6499;8993;5846
215;24402;12094;24448;16150;6535;2108;4556;3269;11070;6603;8943;5814
216;23705;11745;23749;16048;6569;2119;4571;3306;11042;6584;9199;5977
217;23048;11416;23102;15106;6603;2130;4586;3288;11150;6644;9106;5911
218;24433;12108;24488;15550;6637;2141;4601;3304;11077;6598;9161;5948
219;26796;13289;26846;17176;6671;2152;4616;3325;11139;6636;9092;5903
220;25053;12417;25102;16759;6705;2163;4631;3343;11328;6762;9328;6076
221;24870;12325;24923;16056;6739;2174;4646;3351;11332;6763;9252;6012
222;24951;12365;25010;15803;6773;2185;4661;3368;11480;6845;9379;6100
223;23892;11835;23949;15480;6807;2196;4676;3380;11511;6864;9520;6199
224;24849;12313;24896;16351;6841;2207;4691;3404;11598;6921;9583;6229
225;26140;12958;26192;16952;6875;2218;4706;3409;11542;6883;9627;6252
226;24737;12256;24793;16615;6909;2229;4721;3423;11757;7011;9496;6175
227;22736;11255;22784;15284;6943;2240;4736;3419;11798;7037;9738;6324
228;24943;12358;24995;15867;6977;2251;4751;3447;11808;7035;9747;6336
229;26608;13190;26669;17604;7011;2262;4766;3453;11959;7129;9870;6429
230;26373;13072;26437;17068;7045;2273;4781;3465;12026;7172;9767;6353
231;27786;13778;27835;18102;7079;2284;4796;3496;11970;7137;9754;6343
232;28915;14342;28961;18765;7113;2295;4811;3500;12097;7213;9817;6376
233;28236;14002;28287;17862;7147;2306;4826;3525;12089;7208;9851;6392
234;29301;14534;29362;18855;7181;2317;4841;3539;12016;7171;9944;6461
235;28328;14047;28385;18288;7215;2328;4856;3550;12240;7299;10130;6587
236;27125;13445;27179;17693;7249;2339;4871;3567;12438;7422;10128;6582
237;26514;13139;26571;17468;7283;2350;4886;3579;12517;7471;10198;6634
238;28759;14261;28821;18155;7317;2361;4901;3583;12241;7300;10159;6601
239;28940;14351;29002;19050;7351;2372;4916;3609;12569;7493;10239;6651
240;27921;13841;27990;18182;7385;2383;4931;3622;12654;7542;10367;6740
241;27678;13719;27743;18172;7419;2394;4946;3641;12737;7595;10423;6772
242;30625;15192;30678;19840;7453;2405;4961;3644;12672;7560;10422;6771
243;28982;14370;29037;19870;7487;2416;4976;3667;12671;7559;10589;6878
244;29919;14838;29974;19710;7521;2427;5008;3686;12745;7600;10524;6840
245;31630;15693;31696;20762;7555;2438;5040;3692;12881;7685;10526;6845
246;34201;16978;34272;21793;7589;2449;5072;3711;12839;7658;10560;6867
247;33198;16476;33257;21704;7623;2460;5104;3730;12997;7744;10724;6980
248;31395;15574;31447;20660;7657;2471;5136;3754;13070;7802;10764;7002
249;33044;16398;33097;21620;7691;2482;5168;3789;13162;7855;10797;7029
250;31403;15577;31465;20589;7725;2493;5200;3793;13224;7887;10976;7142
251;31170;15460;31236;20878;7759;2504;5232;3808;13208;7877;10799;7019
252;32075;15912;32134;20992;7793;2515;5264;3835;13303;7942;10788;7011
253;33048;16398;33106;21214;7827;2526;5296;3854;13359;7974;10928;7094
254;36709;18228;36774;23358;7861;2537;5328;3880;13218;7881;10980;7140
255;37782;18764;37850;23562;7895;2548;5360;3902;13409;7994;11035;7174
256;33703;16724;33773;22246;7929;2559;5392;3915;13641;8142;11035;7177
257;32862;16303;32929;21658;7966;2571;5424;3945;13448;8033;11112;7230
258;33339;16541;33406;22043;8003;2583;5456;3957;13642;8134;11297;7343
259;33312;16527;33379;21996;8040;2595;5488;3986;13758;8205;11258;7316
260;34523;17132;34594;22588;8077;2607;5520;4005;13751;8201;11335;7369
261;33914;16827;33980;22590;8114;2619;5552;4033;13792;8224;11456;7454
262;34667;17203;34731;22698;8151;2631;5584;4041;13984;8344;11439;7437
