n;b1_a;b1_c;b2_a;b2_c
2;2;0;3;2;
3;7;2;8;6;
4;10;3;9;8;
5;13;4;15;12;
6;14;4;17;14;
7;19;6;18;16;
8;18;5;19;18;
9;17;4;24;22;
10;20;5;24;23;
11;25;7;23;24;
12;26;7;30;29;
13;29;8;29;31;
14;26;6;26;31;
15;29;7;37;37;
16;36;10;40;40;
17;39;11;40;41;
18;42;12;47;47;
19;33;7;49;48;
20;38;9;53;52;
21;45;12;50;52;
22;54;17;52;53;
23;54;16;59;59;
24;54;15;56;59;
25;51;13;64;64;
26;60;17;58;64;
27;61;17;71;73;
28;72;22;63;70;
29;63;17;70;73;
30;58;14;81;81;
31;71;20;83;83;
32;80;24;68;79;
33;81;24;84;87;
34;76;21;82;86;
35;79;22;79;86;
36;84;24;81;91;
37;101;33;92;98;
38;83;23;88;96;
39;89;25;99;102;
40;88;24;98;104;
41;101;31;108;109;
42;104;31;103;107;
43;104;33;98;109;
44;106;31;107;114;
45;107;31;93;109;
46;108;31;111;120;
47;115;34;118;125;
48;126;39;126;129;
49;119;35;113;125;
50;126;38;121;131;
51;111;30;126;135;
52;122;35;136;143;
53;127;37;126;139;
54;122;34;125;139;
55;126;36;132;144;
56;138;41;144;149;
57;139;41;125;144;
58;134;38;147;155;
59;123;32;133;150;
60;134;37;135;152;
61;152;47;136;156;
62;136;37;151;161;
63;143;40;150;165;
64;132;34;144;162;
65;143;39;162;173;
66;170;52;149;169;
67;147;41;165;177;
68;152;42;172;182;
69;163;47;152;174;
70;168;49;175;187;
71;169;51;169;186;
72;172;50;168;187;
73;155;41;185;198;
74;171;50;179;196;
75;176;51;174;196;
76;170;47;170;195;
77;170;47;179;200;
78;184;53;199;213;
79;194;59;189;208;
80;184;52;185;208;
81;203;64;196;214;
82;202;63;199;218;
83;189;54;196;215;
84;186;51;196;219;
85;183;49;200;221;
86;186;50;192;219;
87;214;68;191;222;
88;201;57;203;228;
89;224;71;220;238;
90;200;55;219;239;
91;203;56;217;239;
92;206;59;215;239;
93;222;67;221;245;
94;217;65;226;250;
95;224;66;213;243;
96;204;54;223;250;
97;235;70;232;257;
98;211;57;227;254;
99;239;72;219;252;
100;220;60;236;263;
101;207;53;234;263;
102;212;55;239;265;
103;229;63;257;278;
104;240;68;256;279;
105;245;70;247;275;
106;268;83;240;272;
107;239;67;257;284;
108;244;68;252;283;
109;251;71;247;282;
110;244;68;261;291;
111;257;73;262;292;
112;259;75;267;295;
113;259;73;270;298;
114;276;81;259;296;
115;290;90;272;304;
116;276;80;278;307;
117;271;77;275;306;
118;268;75;288;315;
119;277;79;266;306;
120;270;75;271;310;
121;292;87;276;313;
122;299;91;274;315;
123;295;86;282;321;
124;272;74;290;325;
125;277;76;288;323;
126;262;68;285;326;
127;293;83;305;336;
128;276;74;311;341;
129;269;70;298;338;
130;296;83;317;345;
131;298;85;296;339;
132;288;78;311;347;
133;319;97;309;349;
134;294;81;308;348;
135;327;97;326;361;
136;294;79;314;356;
137;327;95;312;355;
138;305;84;310;356;
139;345;105;304;353;
140;339;101;334;372;
141;341;106;324;367;
142;328;95;350;381;
143;325;91;337;378;
144;318;87;344;381;
145;323;89;340;381;
146;333;94;339;382;
147;355;106;341;385;
148;346;99;340;386;
149;341;96;334;382;
150;353;103;341;389;
151;348;100;352;397;
152;359;104;357;400;
153;341;94;348;398;
154;352;101;372;409;
155;375;113;352;403;
156;356;103;362;409;
157;353;98;362;408;
158;359;102;375;418;
159;375;109;343;404;
160;346;93;380;425;
161;372;108;376;423;
162;387;117;372;422;
163;391;118;400;437;
164;391;120;378;429;
165;385;113;403;442;
166;394;120;372;427;
