n;q1_a;q1_c;q2_a;q2_c
2;9;1;5;8;
3;22;3;6;11;
4;14;5;14;16;
5;43;8;21;28;
6;48;11;26;33;
7;61;12;25;42;
8;78;22;62;59;
9;82;20;68;63;
10;82;25;49;66;
11;111;26;70;67;
12;75;27;75;86;
13;101;36;91;105;
14;140;36;113;106;
15;142;41;115;115;
16;162;42;116;123;
17;184;51;162;144;
18;155;54;125;153;
19;152;61;118;160;
20;157;82;164;178;
21;192;73;161;177;
22;230;73;180;183;
23;198;74;209;217;
24;216;75;220;200;
25;308;115;194;285;
26;289;108;229;220;
27;333;101;233;245;
28;327;109;225;255;
29;359;126;247;272;
30;352;110;326;293;
31;374;117;272;293;
32;366;133;324;296;
33;367;134;306;332;
34;602;175;406;386;
35;343;136;334;332;
36;439;175;394;348;
37;573;180;339;353;
38;497;148;416;405;
39;522;179;369;400;
40;595;184;329;369;
41;682;223;358;444;
42;414;212;450;434;
43;688;272;463;526;
44;738;207;459;454;
45;492;241;455;483;
46;528;202;411;484;
47;614;221;452;523;
48;621;233;419;461;
49;633;222;510;520;
50;850;249;537;518;
51;780;260;742;634;
52;729;256;482;550;
53;626;247;506;531;
54;1038;321;572;597;
55;720;274;610;685;
56;730;264;680;642;
57;881;320;540;685;
58;904;310;544;673;
59;821;348;645;692;
60;807;312;603;698;
61;1070;353;689;690;
62;843;335;822;779;
63;846;338;872;774;
64;920;340;692;785;
65;796;368;699;824;
66;883;371;819;742;
67;1259;420;878;864;
68;813;370;773;780;
69;1119;377;711;786;
70;980;381;857;853;
71;919;365;885;853;
72;1006;425;716;906;
73;1065;431;859;789;
74;1247;429;730;877;
75;1243;467;894;975;
76;1124;486;982;1019;
77;1142;468;880;871;
78;1683;566;1164;1239;
79;1576;539;964;944;
80;1421;454;873;875;
81;1409;494;918;970;
82;1475;507;966;1118;
83;1404;607;993;1072;
84;1243;600;1081;1019;
85;1592;572;1044;1151;
86;1508;518;917;1061;
87;1055;489;873;1038;
88;1550;600;965;1206;
89;1531;513;1270;1303;
90;1450;551;1480;1368;
91;1122;547;1096;1251;
92;1417;527;1105;1195;
93;1487;628;1038;1106;
94;1825;790;1442;1312;
95;1357;652;1115;1250;
96;1393;603;1342;1290;
97;1235;565;1250;1218;
98;1372;541;1048;1269;
