d;a;c
2;700020;9999;
3;450024;9999;
4;350027;9999;
5;300030;9999;
6;300036;9999;
7;250036;9999;
8;250041;9999;
9;250046;9999;
10;200042;9999;
11;200046;9999;
12;200050;9999;
13;200054;9999;
14;200058;9999;
15;200062;9999;
16;200066;9999;
17;200070;9999;
18;200074;9999;
19;200078;9999;
20;200082;9999;
21;200086;9999;
22;150069;9999;
23;150072;9999;
24;150075;9999;
25;150078;9999;
26;150081;9999;
27;150084;9999;
28;150087;9999;
29;150090;9999;
30;150093;9999;
31;150096;9999;
32;150099;9999;
33;150102;9999;
34;150105;9999;
35;150108;9999;
36;150111;9999;
37;150114;9999;
38;150117;9999;
39;150120;9999;
40;150123;9999;
41;150126;9999;
42;150129;9999;
43;150132;9999;
44;150135;9999;
45;150138;9999;
46;150141;9999;
47;150144;9999;
48;150147;9999;
49;150150;9999;
50;150153;9999;
51;150156;9999;
52;150159;9999;
53;150162;9999;
54;150165;9999;
55;150168;9999;
56;150171;9999;
57;150174;9999;
58;150177;9999;
59;150180;9999;
60;150183;9999;
61;150186;9999;
62;150189;9999;
63;150192;9999;
64;150195;9999;
65;150198;9999;
66;150201;9999;
67;150204;9999;
68;150207;9999;
69;150210;9999;
70;150213;9999;
71;150216;9999;
72;150219;9999;
73;150222;9999;
74;150225;9999;
75;150228;9999;
76;150231;9999;
77;150234;9999;
78;150237;9999;
79;150240;9999;
80;150243;9999;
81;150246;9999;
82;150249;9999;
83;150252;9999;
84;150255;9999;
85;150258;9999;
86;150261;9999;
87;150264;9999;
88;150267;9999;
89;150270;9999;
90;150273;9999;
91;150276;9999;
92;150279;9999;
93;150282;9999;
94;150285;9999;
95;150288;9999;
96;150291;9999;
97;150294;9999;
98;150297;9999;
99;150300;9999;
100;100204;9999;
101;100206;9999;
102;100208;9999;
103;100210;9999;
104;100212;9999;
105;100214;9999;
106;100216;9999;
107;100218;9999;
108;100220;9999;
109;100222;9999;
110;100224;9999;
111;100226;9999;
112;100228;9999;
113;100230;9999;
114;100232;9999;
115;100234;9999;
116;100236;9999;
117;100238;9999;
118;100240;9999;
119;100242;9999;
120;100244;9999;
121;100246;9999;
122;100248;9999;
123;100250;9999;
124;100252;9999;
125;100254;9999;
126;100256;9999;
127;100258;9999;
128;100260;9999;
129;100262;9999;
130;100264;9999;
131;100266;9999;
132;100268;9999;
133;100270;9999;
134;100272;9999;
135;100274;9999;
136;100276;9999;
137;100278;9999;
138;100280;9999;
139;100282;9999;
140;100284;9999;
141;100286;9999;
142;100288;9999;
143;100290;9999;
144;100292;9999;
145;100294;9999;
146;100296;9999;
147;100298;9999;
148;100300;9999;
149;100302;9999;
150;100304;9999;
151;100306;9999;
152;100308;9999;
153;100310;9999;
154;100312;9999;
155;100314;9999;
156;100316;9999;
157;100318;9999;
158;100320;9999;
159;100322;9999;
160;100324;9999;
161;100326;9999;
162;100328;9999;
163;100330;9999;
164;100332;9999;
165;100334;9999;
166;100336;9999;
167;100338;9999;
168;100340;9999;
169;100342;9999;
170;100344;9999;
171;100346;9999;
172;100348;9999;
173;100350;9999;
174;100352;9999;
175;100354;9999;
176;100356;9999;
177;100358;9999;
178;100360;9999;
179;100362;9999;
180;100364;9999;
181;100366;9999;
182;100368;9999;
183;100370;9999;
184;100372;9999;
185;100374;9999;
186;100376;9999;
187;100378;9999;
188;100380;9999;
189;100382;9999;
190;100384;9999;
191;100386;9999;
192;100388;9999;
193;100390;9999;
194;100392;9999;
195;100394;9999;
196;100396;9999;
197;100398;9999;
198;100400;9999;
199;100402;9999;
200;100404;9999;
201;100406;9999;
202;100408;9999;
203;100410;9999;
204;100412;9999;
205;100414;9999;
206;100416;9999;
207;100418;9999;
208;100420;9999;
209;100422;9999;
210;100424;9999;
211;100426;9999;
212;100428;9999;
213;100430;9999;
214;100432;9999;
215;100434;9999;
216;100436;9999;
217;100438;9999;
218;100440;9999;
219;100442;9999;
220;100444;9999;
221;100446;9999;
222;100448;9999;
223;100450;9999;
224;100452;9999;
225;100454;9999;
226;100456;9999;
227;100458;9999;
228;100460;9999;
229;100462;9999;
230;100464;9999;
231;100466;9999;
232;100468;9999;
233;100470;9999;
234;100472;9999;
235;100474;9999;
236;100476;9999;
237;100478;9999;
238;100480;9999;
239;100482;9999;
240;100484;9999;
241;100486;9999;
242;100488;9999;
243;100490;9999;
244;100492;9999;
245;100494;9999;
246;100496;9999;
247;100498;9999;
248;100500;9999;
249;100502;9999;
250;100504;9999;
251;100506;9999;
252;100508;9999;
253;100510;9999;
254;100512;9999;
255;100514;9999;
256;100516;9999;
257;100518;9999;
258;100520;9999;
259;100522;9999;
260;100524;9999;
261;100526;9999;
262;100528;9999;
263;100530;9999;
264;100532;9999;
265;100534;9999;
266;100536;9999;
267;100538;9999;
268;100540;9999;
269;100542;9999;
270;100544;9999;
271;100546;9999;
272;100548;9999;
273;100550;9999;
274;100552;9999;
275;100554;9999;
276;100556;9999;
277;100558;9999;
278;100560;9999;
279;100562;9999;
280;100564;9999;
281;100566;9999;
282;100568;9999;
283;100570;9999;
284;100572;9999;
285;100574;9999;
286;100576;9999;
287;100578;9999;
288;100580;9999;
289;100582;9999;
290;100584;9999;
291;100586;9999;
292;100588;9999;
293;100590;9999;
294;100592;9999;
295;100594;9999;
296;100596;9999;
297;100598;9999;
298;100600;9999;
299;100602;9999;
300;100604;9999;
301;100606;9999;
302;100608;9999;
303;100610;9999;
304;100612;9999;
305;100614;9999;
306;100616;9999;
307;100618;9999;
308;100620;9999;
309;100622;9999;
310;100624;9999;
311;100626;9999;
312;100628;9999;
313;100630;9999;
314;100632;9999;
315;100634;9999;
316;100636;9999;
317;100638;9999;
318;100640;9999;
319;100642;9999;
320;100644;9999;
321;100646;9999;
322;100648;9999;
323;100650;9999;
324;100652;9999;
325;100654;9999;
326;100656;9999;
327;100658;9999;
328;100660;9999;
329;100662;9999;
330;100664;9999;
331;100666;9999;
332;100668;9999;
333;100670;9999;
334;100672;9999;
335;100674;9999;
336;100676;9999;
337;100678;9999;
338;100680;9999;
339;100682;9999;
340;100684;9999;
341;100686;9999;
342;100688;9999;
343;100690;9999;
344;100692;9999;
345;100694;9999;
346;100696;9999;
347;100698;9999;
348;100700;9999;
349;100702;9999;
350;100704;9999;
351;100706;9999;
352;100708;9999;
353;100710;9999;
354;100712;9999;
355;100714;9999;
356;100716;9999;
357;100718;9999;
358;100720;9999;
359;100722;9999;
360;100724;9999;
361;100726;9999;
362;100728;9999;
363;100730;9999;
364;100732;9999;
365;100734;9999;
366;100736;9999;
367;100738;9999;
368;100740;9999;
369;100742;9999;
370;100744;9999;
371;100746;9999;
372;100748;9999;
373;100750;9999;
374;100752;9999;
375;100754;9999;
376;100756;9999;
377;100758;9999;
378;100760;9999;
379;100762;9999;
380;100764;9999;
381;100766;9999;
382;100768;9999;
383;100770;9999;
384;100772;9999;
385;100774;9999;
386;100776;9999;
387;100778;9999;
388;100780;9999;
389;100782;9999;
390;100784;9999;
391;100786;9999;
392;100788;9999;
393;100790;9999;
394;100792;9999;
395;100794;9999;
396;100796;9999;
397;100798;9999;
398;100800;9999;
399;100802;9999;
400;100804;9999;
401;100806;9999;
402;100808;9999;
403;100810;9999;
404;100812;9999;
405;100814;9999;
406;100816;9999;
407;100818;9999;
408;100820;9999;
409;100822;9999;
410;100824;9999;
411;100826;9999;
412;100828;9999;
413;100830;9999;
414;100832;9999;
415;100834;9999;
416;100836;9999;
417;100838;9999;
418;100840;9999;
419;100842;9999;
420;100844;9999;
421;100846;9999;
422;100848;9999;
423;100850;9999;
424;100852;9999;
425;100854;9999;
426;100856;9999;
427;100858;9999;
428;100860;9999;
429;100862;9999;
430;100864;9999;
431;100866;9999;
432;100868;9999;
433;100870;9999;
434;100872;9999;
435;100874;9999;
436;100876;9999;
437;100878;9999;
438;100880;9999;
439;100882;9999;
440;100884;9999;
441;100886;9999;
442;100888;9999;
443;100890;9999;
444;100892;9999;
445;100894;9999;
446;100896;9999;
447;100898;9999;
448;100900;9999;
449;100902;9999;
450;100904;9999;
451;100906;9999;
452;100908;9999;
453;100910;9999;
454;100912;9999;
455;100914;9999;
456;100916;9999;
457;100918;9999;
458;100920;9999;
459;100922;9999;
460;100924;9999;
461;100926;9999;
462;100928;9999;
463;100930;9999;
464;100932;9999;
465;100934;9999;
466;100936;9999;
467;100938;9999;
468;100940;9999;
469;100942;9999;
470;100944;9999;
471;100946;9999;
472;100948;9999;
473;100950;9999;
474;100952;9999;
475;100954;9999;
476;100956;9999;
477;100958;9999;
478;100960;9999;
479;100962;9999;
480;100964;9999;
481;100966;9999;
482;100968;9999;
483;100970;9999;
484;100972;9999;
485;100974;9999;
486;100976;9999;
487;100978;9999;
488;100980;9999;
489;100982;9999;
490;100984;9999;
491;100986;9999;
492;100988;9999;
493;100990;9999;
494;100992;9999;
495;100994;9999;
496;100996;9999;
497;100998;9999;
498;101000;9999;
499;101002;9999;
500;101004;9999;
501;101006;9999;
502;101008;9999;
503;101010;9999;
504;101012;9999;
505;101014;9999;
506;101016;9999;
507;101018;9999;
508;101020;9999;
509;101022;9999;
510;101024;9999;
511;101026;9999;
512;101028;9999;
513;101030;9999;
514;101032;9999;
515;101034;9999;
516;101036;9999;
517;101038;9999;
518;101040;9999;
519;101042;9999;
520;101044;9999;
521;101046;9999;
522;101048;9999;
523;101050;9999;
524;101052;9999;
525;101054;9999;
526;101056;9999;
527;101058;9999;
528;101060;9999;
529;101062;9999;
530;101064;9999;
531;101066;9999;
532;101068;9999;
533;101070;9999;
534;101072;9999;
535;101074;9999;
536;101076;9999;
537;101078;9999;
538;101080;9999;
539;101082;9999;
540;101084;9999;
541;101086;9999;
542;101088;9999;
543;101090;9999;
544;101092;9999;
545;101094;9999;
546;101096;9999;
547;101098;9999;
548;101100;9999;
549;101102;9999;
550;101104;9999;
551;101106;9999;
552;101108;9999;
553;101110;9999;
554;101112;9999;
555;101114;9999;
556;101116;9999;
557;101118;9999;
558;101120;9999;
559;101122;9999;
560;101124;9999;
561;101126;9999;
562;101128;9999;
563;101130;9999;
564;101132;9999;
565;101134;9999;
566;101136;9999;
567;101138;9999;
568;101140;9999;
569;101142;9999;
570;101144;9999;
571;101146;9999;
572;101148;9999;
573;101150;9999;
574;101152;9999;
575;101154;9999;
576;101156;9999;
577;101158;9999;
578;101160;9999;
579;101162;9999;
580;101164;9999;
581;101166;9999;
582;101168;9999;
583;101170;9999;
584;101172;9999;
585;101174;9999;
586;101176;9999;
587;101178;9999;
588;101180;9999;
589;101182;9999;
590;101184;9999;
591;101186;9999;
592;101188;9999;
593;101190;9999;
594;101192;9999;
595;101194;9999;
596;101196;9999;
597;101198;9999;
598;101200;9999;
599;101202;9999;
600;101204;9999;
601;101206;9999;
602;101208;9999;
603;101210;9999;
604;101212;9999;
605;101214;9999;
606;101216;9999;
607;101218;9999;
608;101220;9999;
609;101222;9999;
610;101224;9999;
611;101226;9999;
612;101228;9999;
613;101230;9999;
614;101232;9999;
615;101234;9999;
616;101236;9999;
617;101238;9999;
618;101240;9999;
619;101242;9999;
620;101244;9999;
621;101246;9999;
622;101248;9999;
623;101250;9999;
624;101252;9999;
625;101254;9999;
626;101256;9999;
627;101258;9999;
628;101260;9999;
629;101262;9999;
630;101264;9999;
631;101266;9999;
