InputSize,RecursiveTime(us),IterativeTime(us)
10,19,3
20,20,4
30,31,5
40,25,5
50,30,5
60,46,8
70,35,5
80,37,6
90,34,6
100,125,11
110,109,11
120,69,11
130,85,12
140,71,10
150,49,7
160,131,21
170,101,20
180,122,17
190,122,18
200,130,15
210,127,20
220,146,16
230,65,9
240,80,10
250,70,10
260,72,10
270,69,10
280,69,10
290,71,10
300,93,18
310,178,25
320,134,28
330,153,20
340,757,37
350,150,23
360,197,32
370,782,54
380,177,26
390,361,60
400,447,28
410,306,23
420,154,31
430,218,30
440,218,31
450,220,32
460,233,38
470,450,39
480,384,31
490,336,23
500,269,22
510,401,28
520,168,17
530,173,15
540,171,15
550,173,15
560,176,15
570,258,41
580,259,41
590,261,39
600,299,28
610,427,37
620,175,25
630,160,26
640,258,57
650,437,20
660,189,19
670,189,38
680,169,28
690,197,31
700,196,30
710,195,31
720,254,49
730,211,61
740,256,49
750,214,33
760,207,32
770,195,32
780,198,20
790,200,20
800,393,36
810,335,45
820,360,47
830,333,47
840,322,50
850,321,50
860,320,46
870,327,49
880,327,51
890,328,49
900,323,45
910,325,46
920,498,50
930,275,24
940,515,53
950,376,53
960,218,23
970,1658,45
980,383,30
990,1995,51
1000,1103,48
1010,529,33
1020,246,43
1030,261,36
1040,421,57
1050,742,55
1060,351,52
1070,817,34
1080,401,40
1090,348,53
1100,511,25
1110,499,31
1120,372,40
1130,397,40
1140,611,63
1150,690,157
1160,514,27
1170,515,26
1180,353,54
1190,371,54
1200,373,55
1210,373,53
1220,365,53
1230,368,55
1240,395,53
1250,261,42
1260,381,43
1270,664,60
1280,465,66
1290,222,25
1300,244,41
1310,375,59
1320,379,57
1330,404,45
1340,397,33
1350,397,34
1360,279,44
1370,240,28
1380,295,28
1390,425,60
1400,294,46
1410,420,44
1420,341,40
1430,237,28
1440,1127,61
1450,441,46
1460,290,48
1470,418,40
1480,418,36
1490,248,31
1500,252,32
1510,404,51
1520,426,51
1530,539,31
1540,631,32
1550,553,116
1560,584,51
1570,518,46
1580,454,49
1590,444,60
1600,443,61
1610,294,63
1620,316,52
1630,460,53
1640,311,53
1650,531,33
1660,525,34
1670,632,53
1680,359,57
1690,321,55
1700,535,34
1710,548,33
1720,548,34
1730,535,33
1740,556,34
1750,537,34
1760,588,54
1770,552,91
1780,348,56
1790,542,34
1800,544,34
1810,650,56
1820,554,35
1830,553,35
1840,537,35
1850,552,35
1860,530,38
1870,544,35
1880,728,89
1890,395,81
1900,492,55
1910,477,60
1920,479,55
1930,488,56
1940,504,55
1950,460,59
1960,591,75
1970,486,52
1980,505,59
1990,489,59
2000,366,80
2010,335,61
2020,569,39
2030,575,39
2040,570,39
2050,574,39
2060,577,38
2070,574,40
2080,574,41
2090,772,66
2100,666,41
2110,705,66
2120,521,45
2130,560,40
2140,509,43
2150,502,40
2160,509,40
2170,503,44
2180,512,47
2190,519,42
2200,525,43
2210,509,42
2220,521,42
2230,517,40
2240,516,42
2250,400,58
2260,675,41
2270,590,42
2280,594,41
2290,594,46
2300,335,59
2310,591,43
2320,591,41
2330,574,42
2340,591,41
2350,606,43
2360,835,67
2370,723,97
2380,410,73
2390,398,70
2400,393,68
2410,441,63
2420,545,81
2430,383,66
2440,550,67
2450,366,67
2460,604,44
2470,610,44
2480,441,71
2490,366,63
2500,401,79
2510,372,70
2520,392,67
2530,376,71
2540,428,74
2550,405,73
2560,425,73
2570,406,73
2580,419,63
2590,390,98
2600,982,67
2610,763,78
2620,589,47
2630,723,82
2640,625,80
2650,807,73
2660,877,73
2670,529,79
2680,1215,83
2690,1113,56
2700,917,79
2710,525,75
2720,707,81
2730,686,80
2740,667,78
2750,705,70
2760,739,76
2770,444,48
2780,620,91
2790,696,52
2800,821,49
2810,639,50
2820,629,48
2830,626,48
2840,621,49
2850,708,47
2860,617,49
2870,651,49
2880,450,79
2890,566,83
2900,459,80
2910,590,78
2920,452,75
2930,563,82
2940,422,79
2950,4284,81
2960,501,83
2970,401,71
2980,770,123
2990,440,83
3000,549,121
3010,424,77
3020,841,80
3030,587,81
3040,454,77
3050,604,81
3060,909,84
3070,695,86
3080,807,201
3090,866,88
3100,846,109
3110,1044,96
3120,672,91
3130,355,54
3140,346,52
3150,350,51
3160,358,54
3170,349,53
3180,340,62
3190,1206,85
3200,537,83
3210,622,81
3220,601,81
3230,606,82
3240,602,83
3250,604,82
3260,595,82
3270,604,83
3280,693,128
3290,562,87
3300,689,114
3310,686,101
3320,623,87
3330,612,87
3340,594,81
3350,601,84
3360,597,83
3370,548,89
3380,706,96
3390,367,57
3400,360,54
3410,626,63
3420,825,91
3430,2868,97
3440,801,92
3450,1354,113
3460,644,97
3470,604,58
3480,828,164
3490,369,58
3500,561,58
3510,564,58
3520,641,95
3530,386,128
3540,1007,105
3550,378,58
3560,559,59
3570,635,94
3580,787,103
3590,606,85
3600,645,95
3610,1867,136
3620,508,98
3630,503,97
3640,729,67
3650,652,63
3660,583,58
3670,681,110
3680,564,96
3690,559,61
3700,516,60
3710,837,100
3720,734,119
3730,464,111
3740,488,62
3750,578,62
3760,558,61
3770,552,63
3780,394,62
3790,682,82
3800,494,64
3810,739,101
3820,540,63
3830,513,62
3840,511,63
3850,543,65
3860,564,63
3870,511,65
3880,487,99
3890,514,103
3900,649,109
3910,764,141
3920,587,68
3930,575,64
3940,591,64
3950,571,63
3960,728,101
3970,708,63
3980,570,63
3990,553,64
4000,583,66
4010,573,65
4020,561,66
4030,752,64
4040,532,101
4050,524,105
4060,530,110
4070,537,105
4080,532,106
4090,534,109
4100,534,106
4110,522,107
4120,515,98
4130,505,106
4140,829,109
4150,784,119
4160,459,79
4170,613,75
4180,379,63
4190,586,68
4200,582,68
4210,577,67
4220,574,66
4230,571,66
4240,575,66
4250,629,80
4260,523,101
4270,546,107
4280,538,108
4290,534,106
4300,532,118
4310,523,109
4320,532,108
4330,512,110
4340,540,113
4350,541,108
4360,1410,115
4370,752,118
4380,560,108
4390,568,115
4400,596,120
4410,602,116
4420,534,112
4430,606,122
4440,844,150
4450,811,122
4460,715,152
4470,551,113
4480,1135,143
4490,634,114
4500,562,105
4510,610,111
4520,2488,165
4530,807,161
4540,565,119
4550,1028,78
4560,542,73
4570,692,140
4580,1773,143
4590,605,120
4600,1049,73
4610,621,77
4620,614,74
4630,594,72
4640,589,73
4650,802,127
4660,439,72
4670,730,138
4680,652,75
4690,603,75
4700,605,77
4710,600,74
4720,603,74
4730,618,76
4740,606,75
4750,878,495
4760,508,71
4770,550,78
4780,543,76
4790,527,77
4800,531,74
4810,548,118
4820,561,117
4830,630,122
4840,560,76
4850,828,85
4860,821,125
4870,568,120
4880,610,122
4890,587,114
4900,583,74
4910,527,73
4920,943,158
4930,556,75
4940,563,75
4950,561,79
4960,557,77
4970,638,124
4980,884,135
4990,849,169
5000,924,170
5010,733,80
5020,622,81
5030,618,76
5040,621,81
5050,614,77
5060,615,81
5070,610,78
5080,622,77
5090,588,81
5100,609,152
5110,436,76
5120,732,134
5130,588,121
5140,627,79
5150,458,89
5160,626,83
5170,617,101
5180,436,80
5190,614,78
5200,619,79
5210,607,84
5220,754,175
5230,571,117
5240,587,84
5250,850,161
5260,464,78
5270,599,82
5280,618,78
5290,623,81
5300,625,81
5310,617,78
5320,812,189
5330,625,135
5340,613,130
5350,604,130
5360,682,125
5370,614,139
5380,466,82
5390,635,86
5400,644,84
5410,628,85
5420,716,114
5430,641,136
5440,508,115
5450,641,87
5460,660,85
5470,644,88
5480,634,84
5490,643,86
5500,630,84
5510,626,88
5520,780,140
5530,712,176
5540,450,84
5550,635,83
5560,640,89
5570,640,83
5580,640,88
5590,656,84
5600,623,83
5610,648,85
5620,797,161
5630,642,179
5640,805,90
5650,643,83
5660,628,83
5670,630,85
5680,620,84
5690,646,83
5700,627,90
5710,626,82
5720,639,88
5730,642,90
5740,634,84
5750,775,100
5760,645,89
5770,783,145
5780,632,149
5790,652,139
5800,666,146
5810,638,142
5820,660,141
5830,634,137
5840,767,134
5850,1086,91
5860,667,148
5870,553,87
5880,774,149
5890,448,84
5900,635,86
5910,631,89
5920,646,93
5930,666,89
5940,650,105
5950,709,149
5960,669,90
5970,649,97
5980,650,87
5990,670,93
6000,640,94
6010,655,87
6020,644,91
6030,643,96
6040,652,91
6050,1732,224
6060,652,88
6070,826,158
6080,483,88
6090,644,90
6100,644,92
6110,651,95
6120,664,92
6130,672,91
6140,645,88
6150,886,171
6160,491,94
6170,652,93
6180,681,97
6190,664,102
6200,662,91
6210,665,93
6220,656,90
6230,632,89
6240,669,97
6250,750,193
6260,629,142
6270,682,93
6280,468,90
6290,680,93
6300,717,97
6310,686,102
6320,683,98
6330,705,115
6340,654,91
6350,640,96
6360,858,193
6370,479,92
6380,1153,153
6390,1187,150
6400,879,156
6410,757,104
6420,707,156
6430,753,154
6440,866,148
6450,483,94
6460,869,163
6470,707,97
6480,673,99
6490,662,95
6500,676,98
6510,649,97
6520,673,98
6530,473,95
6540,755,140
6550,768,99
6560,681,101
6570,741,100
6580,661,96
6590,733,124
6600,720,101
6610,686,97
6620,784,161
6630,670,155
6640,760,105
6650,621,188
6660,874,178
6670,727,106
6680,697,103
6690,641,103
6700,888,168
6710,832,156
6720,637,102
6730,853,165
6740,518,99
6750,1026,207
6760,817,169
6770,938,126
6780,1009,177
6790,987,164
6800,1020,160
6810,760,157
6820,920,162
6830,1006,180
6840,822,184
6850,951,165
6860,921,199
6870,758,104
6880,914,245
6890,832,108
6900,794,154
6910,1042,152
6920,727,153
6930,753,163
6940,1515,227
6950,1112,187
6960,886,173
6970,1249,176
6980,847,182
6990,639,188
7000,768,175
7010,770,166
7020,945,109
7030,622,104
7040,739,104
7050,899,172
7060,1076,445
7070,2299,236
7080,958,175
7090,927,208
7100,983,179
7110,860,177
7120,785,265
7130,758,178
7140,1898,465
7150,781,195
7160,898,164
7170,797,176
7180,843,173
7190,806,109
7200,864,166
7210,1452,182
7220,835,172
7230,1029,188
7240,780,172
7250,749,111
7260,759,191
7270,808,172
7280,808,165
7290,973,173
7300,918,182
7310,1055,173
7320,1014,116
7330,883,174
7340,777,180
7350,660,141
7360,816,176
7370,811,305
7380,979,196
7390,790,166
7400,730,112
7410,690,109
7420,735,178
7430,869,184
7440,894,184
7450,860,113
7460,777,177
7470,773,179
7480,754,176
7490,749,110
7500,727,112
7510,739,119
7520,717,107
7530,732,233
7540,733,118
7550,915,193
7560,582,107
7570,767,118
7580,716,117
7590,749,120
7600,730,110
7610,872,118
7620,1142,178
7630,818,200
7640,814,181
7650,799,183
7660,839,194
7670,872,130
7680,758,115
7690,1223,231
7700,546,116
7710,938,167
7720,590,109
7730,727,110
7740,738,122
7750,686,106
7760,729,116
7770,719,109
7780,539,115
7790,729,115
7800,706,111
7810,795,186
7820,800,245
7830,722,113
7840,743,115
7850,717,116
7860,732,123
7870,747,118
7880,981,115
7890,1077,132
7900,782,328
7910,567,115
7920,961,221
7930,572,111
7940,727,117
7950,749,118
7960,718,117
7970,745,116
7980,1027,229
7990,1025,242
8000,746,116
8010,751,115
8020,718,111
8030,724,120
8040,762,118
8050,761,123
8060,757,114
8070,750,119
8080,1395,262
8090,754,122
8100,927,211
8110,559,113
8120,702,121
8130,765,121
8140,732,116
8150,683,113
8160,760,115
8170,1551,250
8180,754,115
8190,738,118
8200,699,114
8210,748,124
8220,732,119
8230,723,119
8240,774,122
8250,748,121
8260,1249,1067
8270,745,167
8280,1034,189
8290,593,121
8300,733,122
8310,754,121
8320,762,118
8330,769,124
8340,730,126
8350,777,126
8360,952,225
8370,552,123
8380,792,149
8390,829,192
8400,551,135
8410,712,117
8420,770,130
8430,738,121
8440,738,124
8450,737,117
8460,882,141
8470,978,275
8480,910,202
8490,733,144
8500,771,133
8510,804,189
8520,846,206
8530,818,190
8540,810,291
8550,780,122
8560,839,198
8570,897,197
8580,856,207
8590,842,206
8600,850,201
8610,895,193
8620,852,204
8630,1007,362
8640,838,200
8650,697,166
8660,581,124
8670,783,126
8680,772,126
8690,760,131
8700,770,125
8710,741,121
8720,1982,200
8730,910,197
8740,989,197
8750,990,194
8760,990,195
8770,784,135
8780,793,130
8790,785,125
8800,1004,156
8810,790,138
8820,832,192
8830,767,131
8840,784,133
8850,769,131
8860,794,126
8870,781,130
8880,789,130
8890,1109,206
8900,891,188
8910,2589,226
8920,892,227
8930,852,205
8940,1195,151
8950,783,130
8960,833,134
8970,1020,224
8980,796,128
8990,757,131
9000,770,125
9010,788,130
9020,759,129
9030,1064,207
9040,843,245
9050,581,128
9060,810,133
9070,788,128
9080,792,133
9090,870,206
9100,594,133
9110,785,136
9120,1149,223
9130,848,205
9140,689,146
9150,816,142
9160,766,131
9170,753,128
9180,765,131
9190,793,141
9200,793,129
9210,943,213
9220,875,207
9230,865,216
9240,874,214
9250,845,221
9260,879,203
9270,828,205
9280,870,216
9290,818,157
9300,1082,224
9310,600,134
9320,793,132
9330,760,137
9340,776,132
9350,799,133
9360,802,138
9370,787,129
9380,1138,136
9390,810,140
9400,811,185
9410,800,137
9420,786,133
9430,796,135
9440,773,135
9450,796,136
9460,770,142
9470,804,137
9480,816,139
9490,762,138
9500,1085,247
9510,795,141
9520,796,138
9530,798,139
9540,785,141
9550,929,221
9560,787,136
9570,932,226
9580,824,143
9590,903,221
9600,977,219
9610,763,142
9620,917,224
9630,606,140
9640,1060,175
9650,887,216
9660,988,229
9670,823,135
9680,806,142
9690,772,140
9700,793,132
9710,814,146
9720,972,357
9730,895,210
9740,878,224
9750,898,229
9760,884,218
9770,918,222
9780,909,228
9790,866,225
9800,1009,412
9810,1023,235
9820,830,166
9830,896,218
9840,918,257
9850,918,240
9860,947,231
9870,605,135
9880,767,142
9890,1128,237
9900,622,138
9910,802,142
9920,817,147
9930,784,137
9940,789,141
9950,813,145
9960,785,141
9970,785,142
9980,1145,245
9990,669,148
10000,1330,266
10010,785,152
10020,1080,241
10030,627,144
10040,820,148
10050,811,147
10060,813,147
10070,608,138
10080,1604,295
10090,929,224
10100,1005,242
10110,993,249
10120,988,232
10130,919,235
10140,938,298
10150,1096,298
10160,812,144
10170,1045,237
10180,617,143
10190,786,147
10200,799,138
10210,787,143
10220,779,146
10230,954,244
10240,967,237
10250,937,237
10260,951,238
10270,942,239
10280,1011,231
10290,931,238
10300,942,241
10310,1042,252
10320,930,158
10330,730,149
10340,712,146
10350,688,145
10360,744,150
10370,719,150
10380,743,148
10390,756,149
10400,737,146
10410,1317,300
10420,742,145
10430,873,154
10440,745,151
10450,727,152
10460,948,228
10470,788,148
10480,1251,263
10490,948,389
10500,1008,166
10510,777,152
10520,930,156
10530,702,145
10540,1243,383
10550,1747,161
10560,750,157
10570,781,157
10580,759,154
10590,826,154
10600,725,149
10610,739,376
10620,1344,294
10630,979,271
10640,803,157
10650,916,239
10660,936,238
10670,950,240
10680,942,236
10690,1060,231
10700,861,157
10710,826,153
10720,838,155
10730,814,157
10740,845,154
10750,848,150
10760,814,153
10770,801,151
10780,842,154
10790,1059,258
10800,850,152
10810,799,151
10820,801,150
10830,830,156
10840,813,156
10850,793,153
10860,1141,248
10870,627,152
10880,820,160
10890,1049,159
10900,968,237
10910,1021,161
10920,878,157
10930,870,154
10940,974,245
10950,961,241
10960,1380,236
10970,984,244
10980,900,245
10990,860,162
11000,843,156
11010,794,152
11020,1132,162
11030,950,253
11040,1022,158
11050,818,154
11060,813,166
11070,831,149
11080,829,154
11090,794,159
11100,983,237
11110,805,223
11120,824,159
11130,889,177
11140,641,156
11150,824,161
11160,823,155
11170,800,152
11180,795,163
11190,1088,230
11200,926,259
11210,927,252
11220,965,240
11230,934,250
11240,919,252
11250,983,233
11260,940,254
11270,650,162
11280,1098,251
11290,648,169
11300,839,157
11310,851,159
11320,880,163
11330,806,163
11340,818,154
11350,1114,168
11360,837,161
11370,815,156
11380,3242,278
11390,1555,276
11400,954,251
11410,779,257
11420,687,162
11430,862,174
11440,1307,318
11450,1123,282
11460,1028,202
11470,973,243
11480,658,162
11490,645,157
11500,847,157
11510,680,169
11520,801,159
11530,810,159
11540,869,166
11550,849,159
11560,866,166
11570,1079,270
11580,1135,319
11590,1022,191
11600,1496,261
11610,640,160
11620,799,160
11630,821,164
11640,808,165
11650,1099,397
11660,1064,285
11670,1379,325
11680,957,272
11690,648,167
11700,894,162
11710,870,164
11720,1833,256
11730,894,170
11740,1115,265
11750,731,170
11760,829,164
11770,896,162
11780,813,169
11790,858,163
11800,887,184
11810,617,170
11820,901,166
11830,828,174
11840,674,170
11850,878,168
11860,827,173
11870,913,174
11880,806,163
11890,1137,214
11900,852,170
11910,957,248
11920,942,263
11930,764,179
11940,966,259
11950,960,262
11960,948,259
11970,1014,169
11980,845,166
11990,1104,176
12000,943,257
12010,1005,261
12020,969,258
12030,945,263
12040,951,170
12050,700,175
12060,877,175
12070,985,195
12080,673,168
12090,829,169
12100,879,168
12110,870,175
12120,852,168
12130,779,170
12140,870,171
12150,834,170
12160,880,170
12170,844,170
12180,911,166
12190,888,170
12200,843,170
12210,1139,439
12220,969,269
12230,835,190
12240,997,273
12250,999,264
12260,1067,278
12270,1117,300
12280,1064,248
12290,754,171
12300,770,163
12310,1083,452
12320,793,172
12330,783,166
12340,888,166
12350,808,169
12360,809,170
12370,1167,174
12380,1135,250
12390,994,173
12400,976,258
12410,1000,299
12420,999,264
12430,1181,296
12440,1324,185
12450,1573,464
12460,865,168
12470,1096,274
12480,1621,287
12490,1254,283
12500,1841,277
12510,699,176
12520,1008,285
12530,990,200
12540,1002,266
12550,1060,281
12560,661,183
12570,978,174
12580,794,174
12590,852,175
12600,786,169
12610,815,173
12620,857,170
12630,812,166
12640,842,175
12650,788,172
12660,966,259
12670,636,173
12680,906,180
12690,825,167
12700,885,173
12710,831,177
12720,885,168
12730,793,170
12740,820,173
12750,918,268
12760,890,173
12770,852,214
12780,904,173
12790,695,176
12800,773,199
12810,826,171
12820,830,176
12830,689,179
12840,1161,190
12850,700,170
12860,813,175
12870,988,177
12880,645,169
12890,915,176
12900,678,177
12910,878,176
12920,779,173
12930,870,180
12940,865,181
12950,729,174
12960,801,244
12970,701,175
12980,806,173
12990,835,178
13000,785,173
13010,839,171
13020,796,174
13030,838,177
13040,864,183
13050,842,312
13060,1054,198
13070,908,229
13080,879,219
13090,1000,278
13100,1078,304
13110,1059,239
13120,723,173
13130,663,178
13140,862,173
13150,836,182
13160,882,179
13170,803,173
13180,856,175
13190,848,184
13200,888,177
13210,1171,201
13220,831,181
13230,890,181
13240,680,176
13250,891,183
13260,832,178
13270,876,177
13280,834,183
13290,858,180
13300,640,174
13310,664,185
13320,899,180
13330,812,173
13340,894,178
13350,821,180
13360,872,175
13370,792,177
13380,860,180
13390,888,187
13400,837,182
13410,893,188
13420,1508,269
13430,955,191
13440,902,192
13450,1101,265
13460,768,182
13470,687,192
13480,811,185
13490,655,192
13500,884,245
13510,701,181
13520,813,179
13530,874,177
13540,825,182
13550,908,183
13560,804,176
13570,981,275
13580,948,187
13590,881,180
13600,701,179
13610,933,188
13620,683,180
13630,917,186
13640,855,183
13650,849,184
13660,1013,280
13670,888,187
13680,1196,271
13690,1034,267
13700,1056,278
13710,1034,274
13720,1026,274
13730,802,185
13740,1271,219
13750,732,182
13760,936,195
13770,727,187
13780,844,180
13790,910,197
13800,845,185
13810,873,181
13820,1040,331
13830,694,186
13840,698,179
13850,825,184
13860,1576,392
13870,1096,189
13880,1498,193
13890,709,188
