DataSize,RecursiveTime(us),MemorizedTime(us),BottomUpTime(us)
1,0,0,6
2,0,0,5
3,2,0,5
4,1,0,7
5,2,0,7
6,34,0,10
7,4,1,5
8,34,1,6
9,19,1,5
10,38,1,5
11,72,2,5
12,142,2,5
13,295,3,10
14,479,4,12
15,1081,3,11
16,3192,5,15
17,5627,7,17
18,12501,8,26
19,21158,12,28
20,37913,6,13
21,61524,6,13
22,134463,7,13
23,318141,8,13
24,637419,8,13
25,1174241,8,14
26,-1,9,9
27,-1,10,9
28,-1,10,9
29,-1,11,9
30,-1,12,9
31,-1,24,26
32,-1,24,17
33,-1,198,30
34,-1,173,24
35,-1,27,25
36,-1,222,31
37,-1,147,24
38,-1,177,46
39,-1,131,166
40,-1,41,29
41,-1,44,44
42,-1,45,27
43,-1,47,31
44,-1,25,23
45,-1,27,16
46,-1,47,31
47,-1,74,34
48,-1,57,36
49,-1,60,35
50,-1,63,35
51,-1,67,35
52,-1,69,37
53,-1,71,37
54,-1,75,38
55,-1,77,40
56,-1,82,41
57,-1,84,41
58,-1,99,41
59,-1,89,42
60,-1,93,42
61,-1,96,44
62,-1,92,48
63,-1,65,41
64,-1,281,51
65,-1,411,44
66,-1,101,41
67,-1,95,40
68,-1,99,47
69,-1,69,49
70,-1,114,28
71,-1,105,28
72,-1,107,29
73,-1,109,30
74,-1,110,30
75,-1,350,253
76,-1,141,58
77,-1,150,57
78,-1,156,58
79,-1,159,58
80,-1,130,34
81,-1,133,34
82,-1,126,34
83,-1,127,35
84,-1,131,35
85,-1,131,39
86,-1,133,35
87,-1,136,37
88,-1,138,36
89,-1,142,39
90,-1,460,92
91,-1,196,74
92,-1,217,70
93,-1,214,76
94,-1,219,74
95,-1,225,73
96,-1,231,75
97,-1,235,77
98,-1,239,88
99,-1,242,76
100,-1,246,78
101,-1,262,95
102,-1,258,97
103,-1,271,95
104,-1,352,91
105,-1,251,94
106,-1,274,100
107,-1,280,96
108,-1,284,94
109,-1,288,92
110,-1,293,88
111,-1,299,87
112,-1,304,87
113,-1,309,84
114,-1,324,80
115,-1,335,77
116,-1,324,81
117,-1,224,75
118,-1,319,139
119,-1,245,63
120,-1,223,62
121,-1,350,81
122,-1,358,70
123,-1,360,72
124,-1,369,64
125,-1,379,65
126,-1,374,68
127,-1,378,67
128,-1,380,68
129,-1,390,73
130,-1,249,71
131,-1,260,71
132,-1,398,78
133,-1,292,82
134,-1,274,75
135,-1,414,75
136,-1,417,77
137,-1,406,76
138,-1,413,77
139,-1,420,80
140,-1,419,80
141,-1,424,82
142,-1,428,81
143,-1,430,82
144,-1,434,86
145,-1,435,84
146,-1,451,134
147,-1,301,124
148,-1,462,92
149,-1,395,90
150,-1,329,90
151,-1,468,91
152,-1,460,93
153,-1,467,92
154,-1,469,95
155,-1,473,95
156,-1,478,96
157,-1,482,98
158,-1,485,100
159,-1,560,126
160,-1,371,101
161,-1,510,101
162,-1,507,104
163,-1,511,103
164,-1,515,105
165,-1,528,106
166,-1,518,109
167,-1,521,108
168,-1,532,109
169,-1,534,111
170,-1,542,111
171,-1,404,118
172,-1,421,116
173,-1,574,116
174,-1,557,117
175,-1,553,117
176,-1,566,118
177,-1,571,120
178,-1,567,120
179,-1,572,125
180,-1,584,123
181,-1,586,187
182,-1,469,134
183,-1,614,131
184,-1,605,131
185,-1,600,132
186,-1,602,131
187,-1,612,132
188,-1,612,134
189,-1,615,137
190,-1,636,138
191,-1,623,142
192,-1,580,144
193,-1,621,155
194,-1,522,143
195,-1,659,143
196,-1,650,144
197,-1,654,145
198,-1,660,146
199,-1,661,149
200,-1,679,150
201,-1,571,151
202,-1,851,246
203,-1,750,169
204,-1,723,156
205,-1,694,157
206,-1,712,160
207,-1,715,162
208,-1,721,160
209,-1,711,164
210,-1,746,163
211,-1,718,164
212,-1,728,166
213,-1,797,177
214,-1,880,178
215,-1,769,174
216,-1,649,179
217,-1,800,174
218,-1,762,176
219,-1,763,176
220,-1,770,178
221,-1,788,180
222,-1,904,304
223,-1,669,185
224,-1,816,185
225,-1,822,188
226,-1,803,187
227,-1,807,189
228,-1,809,190
229,-1,834,191
230,-1,841,198
231,-1,901,440
232,-1,741,198
233,-1,853,201
234,-1,897,206
235,-1,864,202
236,-1,887,203
237,-1,893,205
238,-1,887,207
239,-1,1233,353
240,-1,936,218
241,-1,931,212
242,-1,916,213
243,-1,921,216
244,-1,905,218
245,-1,932,217
246,-1,913,219
247,-1,1095,387
248,-1,867,242
249,-1,860,235
250,-1,980,227
251,-1,946,228
252,-1,960,230
253,-1,987,245
254,-1,995,234
255,-1,1092,244
256,-1,861,286
257,-1,851,255
258,-1,1046,241
259,-1,1015,244
260,-1,1003,245
261,-1,1036,245
262,-1,1042,250
263,-1,1052,250
264,-1,1053,251
265,-1,1121,262
266,-1,1155,261
267,-1,984,260
268,-1,959,264
269,-1,1076,264
270,-1,1080,263
271,-1,1104,264
272,-1,1107,266
273,-1,1223,442
274,-1,1015,273
275,-1,1141,275
276,-1,1108,276
277,-1,1142,274
278,-1,1122,276
279,-1,1183,280
280,-1,1456,296
281,-1,1186,284
282,-1,1161,295
283,-1,1185,288
284,-1,1159,288
285,-1,1172,295
286,-1,1171,292
287,-1,1192,352
288,-1,1082,296
289,-1,1213,299
290,-1,1208,304
291,-1,1246,302
292,-1,1228,305
293,-1,1423,316
294,-1,1403,353
295,-1,1143,312
296,-1,1259,316
297,-1,1268,319
298,-1,1297,316
299,-1,1268,417
300,-1,1264,521
301,-1,1318,329
302,-1,1336,326
303,-1,1303,330
304,-1,1318,328
305,-1,1192,332
306,-1,1321,336
307,-1,1458,345
308,-1,1408,349
309,-1,1356,340
310,-1,1402,351
311,-1,1244,345
312,-1,1441,349
313,-1,1502,561
314,-1,1475,361
315,-1,1418,358
316,-1,1396,355
317,-1,1407,363
318,-1,1415,361
319,-1,1461,362
320,-1,1980,376
321,-1,1470,366
322,-1,1473,378
323,-1,1554,371
324,-1,1501,371
325,-1,1459,566
326,-1,1647,389
327,-1,1371,379
328,-1,1493,381
329,-1,1506,388
330,-1,1504,385
331,-1,2011,436
332,-1,1703,399
333,-1,1445,394
334,-1,1600,394
335,-1,1545,396
336,-1,1893,424
337,-1,1544,412
338,-1,1640,406
339,-1,1585,408
340,-1,1638,408
341,-1,1593,413
342,-1,1602,413
343,-1,1506,421
344,-1,2881,684
345,-1,1690,482
346,-1,1625,425
347,-1,1980,436
348,-1,1561,435
349,-1,1668,433
350,-1,1672,431
351,-1,1677,433
352,-1,1911,652
353,-1,1590,439
354,-1,1725,451
355,-1,1750,443
356,-1,1719,445
357,-1,2610,468
358,-1,2010,458
359,-1,1882,455
360,-1,1765,456
361,-1,1795,464
362,-1,1795,486
363,-1,1844,465
364,-1,1782,466
365,-1,1807,468
366,-1,1918,538
367,-1,1723,481
368,-1,1859,478
369,-1,1841,477
370,-1,1857,480
371,-1,1866,484
372,-1,1909,494
373,-1,1768,489
374,-1,2005,521
375,-1,1792,499
376,-1,2240,544
377,-1,2063,506
378,-1,1848,506
379,-1,1999,509
380,-1,1943,506
381,-1,2510,530
382,-1,1998,513
383,-1,1979,521
384,-1,2070,517
385,-1,2098,522
386,-1,1901,523
387,-1,2015,524
388,-1,2142,527
389,-1,2018,530
390,-1,2088,541
391,-1,1960,536
392,-1,2140,538
393,-1,2059,543
394,-1,2462,556
395,-1,2189,552
396,-1,2658,559
397,-1,2146,551
398,-1,2260,566
399,-1,2020,556
400,-1,2315,571
401,-1,2043,562
402,-1,2203,639
403,-1,2081,569
404,-1,2181,570
405,-1,2176,573
406,-1,2495,1138
407,-1,2098,586
408,-1,2246,593
409,-1,2273,588
410,-1,2992,803
411,-1,2386,590
412,-1,2251,591
413,-1,2253,594
414,-1,2466,607
415,-1,2349,610
