Sequence Size,Iterative Time (ms),Recursive Time (ms)
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,1,1
16,0,0
17,0,0
18,0,0
19,1,2
20,1,1
21,0,0
22,1,1
23,1,1
24,1,1
25,2,1
26,1,1
27,1,1
28,1,1
29,2,2
30,1,2
31,2,2
32,3,2
33,1,1
34,3,3
35,1,1
36,1,2
37,2,2
38,2,2
39,2,3
40,2,2
41,2,3
42,2,2
43,2,3
44,2,2
45,3,4
46,3,3
47,3,3
48,3,3
49,3,3
50,3,3
51,3,3
52,4,3
53,4,6
54,5,6
55,6,8
56,6,6
57,6,6
58,8,6
59,5,5
60,5,5
61,5,6
62,5,5
63,5,6
64,5,5
65,5,5
66,6,6
67,6,6
68,6,6
69,6,9
70,12,9
71,10,12
72,8,8
73,8,8
74,11,12
75,11,8
76,8,12
77,13,13
78,10,15
79,10,15
80,12,9
81,9,14
82,16,10
83,9,14
84,16,17
85,18,17
86,10,14
87,11,15
88,19,15
89,12,12
90,12,13
91,11,18
92,15,13
93,13,12
94,14,19
95,22,13
96,21,20
97,13,14
98,14,14
99,18,18
100,23,27
101,25,16
102,16,26
103,15,18
104,23,17
105,23,19
106,18,20
107,16,21
108,17,20
109,23,18
110,17,17
111,24,17
112,21,29
113,22,18
114,19,18
115,20,20
116,19,28
117,21,20
118,20,22
119,26,27
120,23,27
121,25,34
122,29,34
123,31,34
124,25,23
125,29,24
126,33,34
127,22,24
128,23,22
129,25,25
130,25,26
131,24,29
132,24,25
133,24,25
134,25,26
135,28,29
136,26,26
137,26,25
138,26,26
139,27,27
140,27,27
141,28,27
142,27,27
143,29,28
144,28,30
145,29,28
146,29,31
147,30,29
148,33,32
149,35,32
150,34,31
151,31,31
152,32,31
153,33,32
154,34,39
155,52,46
156,41,37
157,39,41
158,48,41
159,35,37
160,35,36
161,42,60
162,37,37
163,39,45
164,45,39
165,38,37
166,38,37
167,40,44
168,44,42
169,44,38
170,40,38
171,42,45
172,49,71
173,84,70
174,56,52
175,47,42
176,42,44
177,43,43
178,50,50
179,47,46
180,49,47
181,59,72
182,87,76
183,63,61
184,53,46
185,58,58
186,54,52
187,51,66
188,63,50
189,50,48
190,49,48
191,51,50
192,50,66
193,52,86
194,120,163
195,203,78
196,71,66
197,69,77
198,86,71
199,72,92
200,82,73
201,77,55
202,63,54
203,58,54
204,57,55
205,57,60
206,57,56
207,57,56
208,60,58
209,63,59
210,61,60
211,60,69
212,62,62
213,60,59
214,60,59
215,66,61
216,65,62
217,63,62
218,74,62
219,71,73
220,67,70
221,76,65
222,66,65
223,67,65
224,78,65
225,68,67
226,67,66
227,71,68
228,70,68
229,70,73
230,72,79
231,72,70
232,71,75
233,72,71
234,73,71
235,79,75
236,75,71
237,74,73
238,75,73
239,76,78
240,81,89
241,77,75
242,78,75
243,85,77
244,78,78
245,80,88
246,83,79
247,83,95
248,87,85
249,82,80
250,82,86
251,83,81
252,86,82
253,85,84
254,86,83
255,94,83
256,86,84
257,87,90
258,89,116
259,111,129
260,138,98
261,103,95
262,109,91
263,106,102
264,106,94
265,99,90
266,87,91
267,94,105
268,96,97
269,97,95
270,88,113
271,98,106
272,98,97
273,99,106
274,99,97
275,95,104
276,101,100
277,108,123
278,108,109
279,100,109
280,112,117
281,102,101
282,98,102
283,119,108
284,98,102
285,101,108
286,100,105
287,114,109
288,114,108
289,110,109
290,110,115
291,111,113
292,103,113
293,117,112
294,113,110
295,109,112
296,114,113
297,109,115
298,108,112
299,110,122
300,118,119
301,125,120
302,124,121
303,124,121
304,119,125
